Player Name,Country,Role,Cost
Lokesh Rahul,India,Batsman,40
Shikhar Dhawan,India,Batsman,40
Virat Kohli,India,Batsman,90
MS Dhoni,India,WicketKeeper,80
Manish Pandey,India,Batsman,60
Kedar Jadhav,India,Batsman,60
Yuvraj Singh,India,Batsman,70
Ajinkya Rahane,India,Batsman,60
Hardik Pandya,India,AllRounder,60
Ravichandran Ashwin,India,Bowler,70
Ravindra Jadeja,India,All Rounder,70
Amit Mishra,India,Bowler,60
Jasprit Bumrah,India,Bowler,60
Bhuvneshwar Kumar,India,Bowler,60
Umesh Yadav,India,Bowler,60
Moeen Ali,England,Bowler,60
Jonny Bairstow,England,WicketKeeper,65
Jake Ball,England,Bowler,50
Sam Billings,England,Batsman,50
Jos Buttler,England,WicketKeeper,70
Liam Dawson,England,AllRounder,50
Alex Hales,England,Batsman,65
Eoin Morgan,England,Batsman,80
Liam Plunkett,England,Bowler,60
Adil Rashid,England,Bowler,50
Joe Root,England,Batsman,70
Jason Roy,England,Batsman,60
Ben Stokes,England,AllRounder,70
David Willey,England,Bowler,60
Chris Woakes,England,AllRounder,70
